draft,categories,layout,publication,title,subtitle,image,date,blurb,notes,refs,sources,slug,ext,tags,image_desc
false,'_categories/journalism.md',article,_publications/medium.md,The Internet is Us,We are not the users of their network. We *are* the network.,/uploads/1065-the-internet-is-us.jpg,2021-06-22 16:00:00 +0000,,,,,1065-the-internet-is-us,.md,,
false,'_categories/journalism.md',article,_publications/medium.md,Human Beings are Not an Engineering Problem,On the re-publication of Robert Anton Wilson’s ‘The New Inquisition’,/uploads/1066-human-beings-are-not-an-engineering-prob.jpg,2021-07-07 16:00:00 +0000,,,,,1066-human-beings-are-not-an-engineering-prob,.md,,
false,'_categories/journalism.md',article,_publications/medium.md,What if All Language is Oppressive?,The problem with policing a language already built on objectification,/uploads/1067-what-if-all-language-is-oppressive.jpg,2021-07-12 16:00:00 +0000,,,,,1067-what-if-all-language-is-oppressive,.md,,
false,'_categories/journalism.md',article,_publications/medium.md,Plunging Into the Abyss,"As even our smartest friends fall to conspiracy fever, we have to accept it’s not about logic or politics, but addiction",/uploads/1068-plunging-into-the-abyss.jpg,2021-07-21 16:00:00 +0000,,,,,1068-plunging-into-the-abyss,.md,,
false,'_categories/journalism.md',article,_publications/medium.md,The AntiVax MetaConspiracy,A modest proposal for connecting the dots,/uploads/1069-the-antivax-metaconspiracy.jpeg,2021-07-28 16:00:00 +0000,,,,,1069-the-antivax-metaconspiracy,.md,,
false,'_categories/journalism.md',article,_publications/medium.md,Why the CDC Should Never Have Gotten Involved in Manufacturing Consent,Epidemiologists are stuck in a real-time feedback loop with public health,/uploads/1070-why-the-cdc-should-never-have-gotten-inv.jpg,2021-08-06 16:00:00 +0000,,,,,1070-why-the-cdc-should-never-have-gotten-inv,.md,,
false,'_categories/journalism.md',article,_publications/medium.md,Bitcoin’s Increasing Value Is Its Real Failure,"The technology is fine, but its speculative bias reveals something sad about our relationship with money",/uploads/1071-bitcoins-increasing-value-is-its-real-fa.jpg,2021-08-12 16:00:00 +0000,,,,,1071-bitcoins-increasing-value-is-its-real-fa,.md,,
false,'_categories/journalism.md',article,_publications/medium.md,Can’t We Use Crypto for Something Other Than Capitalism?,How to make the next generation of bankers better than today’s,/uploads/1072-cant-we-use-crypto-for-something-other-t.jpg,2021-08-20 16:00:00 +0000,,,,,1072-cant-we-use-crypto-for-something-other-t,.md,,
false,'_categories/journalism.md',article,_publications/medium.md,Did the Homepage Kill the Internet?,"Retrieving the great, big, migratory meta-community of digital nomads",/uploads/1073-did-the-homepage-kill-the-internet.jpg,2021-08-26 16:00:00 +0000,,,,,1073-did-the-homepage-kill-the-internet,.md,,
false,'_categories/journalism.md',article,_publications/medium.md,It’s Good to Feel Small,Extreme weather may help remind humans of their place in the bigger scheme of things,/uploads/1074-its-good-to-feel-small.jpeg,2021-09-03 16:00:00 +0000,,,,,1074-its-good-to-feel-small,.md,,
false,'_categories/journalism.md',article,_publications/medium.md,Turning Off the “News”,"Yes, It’s Really Okay to Reduce Our Exposure to the Global Info Onslaught",,2021-09-10 16:00:00 +0000,,,,,1091-turning-off-the-news,.md,,
false,'_categories/journalism.md',article,_publications/medium.md,The Future of Work — Part One,How automation will force us to retrieve human competence,/uploads/0_ryv9bbfgcfuidkkt.jpg,2021-09-21 04:00:00 +0000,"","Source: [https://marker.medium.com/the-future-of-work-part-one-d51ebc64e1ea](https://marker.medium.com/the-future-of-work-part-one-d51ebc64e1ea ""https://marker.medium.com/the-future-of-work-part-one-d51ebc64e1ea"")","","",the-future-of-work-part-one,.md,,
false,'_categories/journalism.md',article,_publications/medium.md,The Future of Work — Part 2,Collaboration is the human employee’s secret weapon,/uploads/0_thtcdweikhuem49e.jpg,2021-09-24 04:00:00 +0000,"","Source: [https://marker.medium.com/the-future-of-work-part-two-f7f532ccc6b6](https://marker.medium.com/the-future-of-work-part-two-f7f532ccc6b6 ""https://marker.medium.com/the-future-of-work-part-two-f7f532ccc6b6"")","","",the-future-of-work-part-2,.md,,
